162157.539 2606490.887 2.645
162164.255 2606492.696 2.677
162167.819 2606489.887 2.715
162172.123 2606492.417 2.445
162175.545 2606492.425 2.485
162187.277 2606490.277 2.617
162191.612 2606489.611 2.572
162198.645 2606492.609 2.551
162202.804 2606491.261 2.481
162209.519 2606490.522 2.441
162213.564 2606490.191 2.447
162216.414 2606492.733 2.486
162220.883 2606492.655 1.36
162228.722 2606490.584 0.246
162233.166 2606492.211 -0.009
162235.973 2606493.186 -0.214
162241.705 2606494.326 -0.217
159928.2 2606485.886 -0.138
159931.472 2606485.848 -0.224
159939.449 2606485.873 -0.198
159944.327 2606487.478 -0.169
159947.182 2606484.917 -0.109
159952.779 2606488.994 -0.042
159957.795 2606489.209 0
159960.511 2606488.141 0.065
159967.691 2606488.17 0.147
159975.21 2606488.997 0.192
159977.367 2606486.845 0.244
159981.131 2606485.63 0.293
159988.257 2606484.92 0.36
159993.38 2606488.157 0.429
159998.675 2606486.685 0.496
160005.08 2606486.916 0.558
160006.989 2606484.696 0.626
160012.183 2606487.366 0.697
160016.711 2606485.127 0.781
160020.784 2606487.279 0.833
160027.257 2606488.117 0.906
160032.5 2606487.961 0.989
160038.392 2606487.708 1.108
160041.86 2606489.009 1.199
160046.631 2606484.623 1.332
160053.58 2606485.46 1.457
160058.129 2606485.934 1.645
160063.898 2606484.808 1.841
160068.962 2606488.376 2.022
160075.198 2606488.979 2.183
160077.457 2606485.908 2.262
160081.537 2606484.919 1.949
160088.779 2606484.773 1.82
160092.694 2606485.09 1.934
160100.175 2606486.684 2.098
160101.585 2606486.097 2.231
160106.263 2606484.864 2.365
160113.717 2606485.661 2.207
160117.922 2606486.359 2.512
160123.322 2606487.03 2.654
160126.977 2606488.955 2.697
160134.828 2606488.273 2.741
160137.539 2606487.201 2.48
160144.482 2606489.096 2.538
160146.202 2606487.513 2.714
160153.967 2606489.101 2.558
160156.164 2606486.716 2.552
160161.813 2606487.767 2.577
160170.058 2606486.353 2.401
160174.545 2606488.441 2.406
160180.172 2606484.927 1.957
160182.686 2606489.011 2.137
160190.17 2606485.067 2.098
160193.227 2606485.697 2.276
160197.181 2606487.383 1.885
160203.928 2606484.717 1.332
160206.807 2606487.692 1.07
160213.21 2606488.948 1.022
160217.289 2606488.218 0.937
160225.227 2606488.59 0.864
160226.146 2606487.508 0.814
160233.939 2606486.436 0.784
160239.227 2606486.551 0.729
160241.562 2606488.444 0.68
160246.432 2606486.113 0.679
160251.878 2606485.773 0.574
160260.089 2606487.474 0.475
160263.881 2606487.644 0.444
160270.209 2606489.17 0.408
160273.564 2606487.003 0.337
160277.167 2606486.493 0.257
160282.505 2606484.863 0.175
160289.275 2606487.503 0.091
160292.017 2606489.115 0.023
160296.846 2606489.254 -0.03
160300.725 2606488.136 -0.047
162049.757 2606489.398 -0.065
162053.725 2606488.247 -0.063
162058.222 2606485.357 0.002
162063.509 2606485.393 0.029
